trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
175,False,"{'a': 0.5, 'e': 0.9993732836951247}",30,0,-96.78667475045036,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
176,False,"{'a': 0.5, 'e': 0.8600617162362019}",25,0,-156.35497620087895,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.5101770449416689}",25,0,-24.48429990616468,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
178,False,"{'a': 0.5, 'e': 0.03538323999893738}",20,0,24.831788482761617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.5, 'e': 0.4480736161291701}",30,0,-67.84541419415994,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
180,False,"{'a': 0.5, 'e': 0.8218264239151786}",20,0,-61.54540418241423,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
181,False,"{'a': 0.5, 'e': 0.9943674609282015}",20,0,-81.7432094600714,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
182,False,"{'a': 0.5, 'e': 0.9234526637284138}",25,0,-118.17472424649908,"{0: 16, 1: 0, 2: 6, 3: 2, 4: 1}",0
183,False,"{'a': 0.5, 'e': 0.626444447910339}",20,0,-110.11428597908426,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
184,False,"{'a': 0.5, 'e': 0.17606078322989716}",30,23,12.03213599787425,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.5, 'e': 0.31742870151970165}",25,11,27.248005378897112,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.7332005694242856}",20,1,-102.37640996513657,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
187,False,"{'a': 0.5, 'e': 0.9694593666699876}",25,0,-159.56456989146506,"{0: 15, 1: 2, 2: 3, 3: 3, 4: 2}",0
188,False,"{'a': 0.5, 'e': 0.9683606998774463}",30,0,-129.61506910923805,"{0: 16, 1: 7, 2: 4, 3: 2, 4: 1}",0
189,False,"{'a': 0.5, 'e': 0.7301735609948197}",25,1,-54.25941841291653,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
190,False,"{'a': 0.5, 'e': 0.31321446868745406}",30,16,16.46279841803054,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.18043044929108396}",20,15,-0.09657388125393984,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.6298997005512549}",20,0,-132.1961271900066,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
193,False,"{'a': 0.5, 'e': 0.9251475365964139}",20,0,-31.32732883625414,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
194,False,"{'a': 0.5, 'e': 0.9938869900344416}",25,0,-140.54436930926443,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
195,False,"{'a': 0.5, 'e': 0.8192882452914593}",30,0,-165.7755528461998,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
196,False,"{'a': 0.5, 'e': 0.44409916442465225}",30,0,-22.679665050445887,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
197,False,"{'a': 0.5, 'e': 0.0398208803931389}",20,16,6.99762275815292,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.5, 'e': 0.5139913848889341}",20,2,-50.6389188865686,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
199,False,"{'a': 0.5, 'e': 0.8623188722876839}",20,0,-137.76356864099955,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
200,False,"{'a': 0.5, 'e': 0.9995206253283515}",30,0,-166.9032951841333,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
201,False,"{'a': 0.5, 'e': 0.8920048697881602}",30,0,-154.3618967525237,"{0: 18, 1: 3, 2: 6, 3: 1, 4: 2}",0
202,False,"{'a': 0.5, 'e': 0.5660952123664124}",25,0,-90.93066644989591,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
203,False,"{'a': 0.5, 'e': 0.10158570369662134}",30,13,-9.604350055993923,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
204,False,"{'a': 0.5, 'e': 0.3877955281633778}",20,16,8.630659674732941,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.7822308898871159}",20,0,-16.76219350392451,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
206,False,"{'a': 0.5, 'e': 0.9851488485104646}",20,0,-58.084541862156186,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
207,False,"{'a': 0.5, 'e': 0.9468680107512125}",20,0,-123.5810534547692,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
208,False,"{'a': 0.5, 'e': 0.6767608607837156}",25,8,-146.25039199501882,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 4}",1
209,False,"{'a': 0.5, 'e': 0.24095904923620143}",20,11,4.0870135106005065,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.2538379413049674}",30,7,8.652287432676113,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
211,False,"{'a': 0.5, 'e': 0.6864865509069841}",20,0,-83.71909545918435,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
212,False,"{'a': 0.5, 'e': 0.9510593107915064}",30,0,-63.998973094594774,"{0: 21, 1: 2, 2: 6, 3: 1, 4: 0}",0
213,False,"{'a': 0.5, 'e': 0.9827795820412206}",20,7,-95.818869132861,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
214,False,"{'a': 0.5, 'e': 0.7738811359710619}",25,0,-139.5962579946445,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
215,False,"{'a': 0.5, 'e': 0.3755095977670121}",20,0,-29.945242737619974,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
216,False,"{'a': 0.5, 'e': 0.1147997863254662}",20,9,21.246339661776446,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.577002178942952}",25,0,-71.5524247938394,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
218,False,"{'a': 0.5, 'e': 0.8979343145007}",20,0,-77.46245671250472,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
219,False,"{'a': 0.5, 'e': 0.999020813314648}",25,0,-136.6786291136256,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
220,False,"{'a': 0.5, 'e': 0.855512174960245}",20,12,-14.362234941898084,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
221,False,"{'a': 0.5, 'e': 0.5025443191453852}",20,2,-9.494746617676533,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
222,False,"{'a': 0.5, 'e': 0.026536087157875483}",25,11,26.037272784128817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.4559691044442761}",25,0,-107.1130760568578,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
224,False,"{'a': 0.5, 'e': 0.8268371568000089}",20,3,-76.14086799114325,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 1}",1
