trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1305,False,"{'a': 0.85, 'e': 0.07334261323220649}",20,7,16.560588371995912,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
1306,False,"{'a': 0.85, 'e': 0.07319592800574208}",20,12,18.489823169385033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1307,False,"{'a': 0.85, 'e': 0.0730495361497306}",20,10,13.959156919758147,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1308,False,"{'a': 0.85, 'e': 0.07290343707743113}",25,18,14.86780787835301,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1309,False,"{'a': 0.85, 'e': 0.07275763020327627}",25,14,19.177070357139254,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1310,False,"{'a': 0.85, 'e': 0.07261211494286972}",35,23,21.875338239975456,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1311,False,"{'a': 0.85, 'e': 0.07246689071298398}",35,17,23.66269280300513,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
1312,False,"{'a': 0.85, 'e': 0.072321956931558}",25,17,15.495464576868226,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1313,False,"{'a': 0.85, 'e': 0.0721773130176949}",30,7,39.707283201779084,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1314,False,"{'a': 0.85, 'e': 0.0720329583916595}",20,14,12.575410659126014,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1315,False,"{'a': 0.85, 'e': 0.07188889247487619}",25,11,12.163124686994886,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1316,False,"{'a': 0.85, 'e': 0.07174511468992643}",20,7,25.44594539213243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1317,False,"{'a': 0.85, 'e': 0.07160162446054658}",20,10,20.244841776266707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1318,False,"{'a': 0.85, 'e': 0.07145842121162549}",20,1,33.74022995895824,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1319,False,"{'a': 0.85, 'e': 0.07131550436920224}",20,10,17.125985840242404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1320,False,"{'a': 0.85, 'e': 0.07117287336046384}",25,0,28.975026264641254,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1321,False,"{'a': 0.85, 'e': 0.0710305276137429}",35,23,-10.873876214127579,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
1322,False,"{'a': 0.85, 'e': 0.07088846655851541}",25,12,23.193195526497686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1323,False,"{'a': 0.85, 'e': 0.07074668962539839}",20,12,6.1057503764587775,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1324,False,"{'a': 0.85, 'e': 0.07060519624614758}",20,13,11.485114772266215,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1325,False,"{'a': 0.85, 'e': 0.07046398585365529}",20,9,20.931754581190326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1326,False,"{'a': 0.85, 'e': 0.07032305788194798}",20,8,1.363157739413895,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1327,False,"{'a': 0.85, 'e': 0.07018241176618409}",20,11,6.909633363152789,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1328,False,"{'a': 0.85, 'e': 0.07004204694265172}",25,10,25.11513631937641,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1329,False,"{'a': 0.85, 'e': 0.06990196284876642}",25,2,23.75214726521195,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
1330,False,"{'a': 0.85, 'e': 0.06976215892306888}",20,8,24.23840735456994,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1331,False,"{'a': 0.85, 'e': 0.06962263460522275}",25,18,13.522215887121945,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1332,False,"{'a': 0.85, 'e': 0.0694833893360123}",20,15,9.491834728038542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1333,False,"{'a': 0.85, 'e': 0.06934442255734027}",25,17,4.741326691465092,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
1334,False,"{'a': 0.85, 'e': 0.06920573371222559}",25,14,25.804777553517447,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1335,False,"{'a': 0.85, 'e': 0.06906732224480114}",25,20,7.893591003774021,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1336,False,"{'a': 0.85, 'e': 0.06892918760031154}",25,3,16.87304393257592,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
1337,False,"{'a': 0.85, 'e': 0.06879132922511091}",25,14,8.264266946127025,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
1338,False,"{'a': 0.85, 'e': 0.06865374656666069}",20,8,18.304624215004335,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1339,False,"{'a': 0.85, 'e': 0.06851643907352738}",25,18,13.491847615005346,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1340,False,"{'a': 0.85, 'e': 0.06837940619538031}",35,21,21.013332929882893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1341,False,"{'a': 0.85, 'e': 0.06824264738298956}",25,15,-9.378996952689638,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
1342,False,"{'a': 0.85, 'e': 0.06810616208822358}",25,6,14.528741143516466,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
1343,False,"{'a': 0.85, 'e': 0.06796994976404713}",20,13,11.76993048073802,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1344,False,"{'a': 0.85, 'e': 0.06783400986451904}",20,8,18.278213278491542,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1345,False,"{'a': 0.85, 'e': 0.06769834184479}",20,13,11.779829457473918,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1346,False,"{'a': 0.85, 'e': 0.06756294516110042}",20,0,28.886592892264723,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1347,False,"{'a': 0.85, 'e': 0.06742781927077822}",20,13,12.832493311325745,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1348,False,"{'a': 0.85, 'e': 0.06729296363223666}",25,13,25.246820694184663,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1349,False,"{'a': 0.85, 'e': 0.06715837770497218}",20,11,4.107959360229746,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
1350,False,"{'a': 0.85, 'e': 0.06702406094956224}",25,15,18.861236520034517,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1351,False,"{'a': 0.85, 'e': 0.06689001282766312}",25,12,18.64457066742101,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1352,False,"{'a': 0.85, 'e': 0.06675623280200779}",25,17,14.039924819731286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1353,False,"{'a': 0.85, 'e': 0.06662272033640378}",20,13,12.705748789045593,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1354,False,"{'a': 0.85, 'e': 0.06648947489573097}",30,22,18.405095919102415,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1355,False,"{'a': 0.85, 'e': 0.06635649594593951}",20,15,9.000248590074754,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1356,False,"{'a': 0.85, 'e': 0.06622378295404763}",20,13,4.573935207385764,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
1357,False,"{'a': 0.85, 'e': 0.06609133538813954}",25,0,-12.337180276671837,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",1
1358,False,"{'a': 0.85, 'e': 0.06595915271736326}",25,17,17.83199842704228,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1359,False,"{'a': 0.85, 'e': 0.06582723441192853}",25,0,25.114246544685862,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1360,False,"{'a': 0.85, 'e': 0.06569557994310467}",30,8,37.02942217368911,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1361,False,"{'a': 0.85, 'e': 0.06556418878321846}",25,10,29.817664634778005,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1362,False,"{'a': 0.85, 'e': 0.06543306040565203}",20,0,0.6878273819271092,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
1363,False,"{'a': 0.85, 'e': 0.06530219428484071}",25,8,26.127894253805977,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
1364,False,"{'a': 0.85, 'e': 0.06517158989627103}",30,8,22.407526183474314,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
1365,False,"{'a': 0.85, 'e': 0.0650412467164785}",25,17,-25.96191455184134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
1366,False,"{'a': 0.85, 'e': 0.06491116422304553}",25,12,25.31780655025299,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1367,False,"{'a': 0.85, 'e': 0.06478134189459944}",20,2,30.252186540658453,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1368,False,"{'a': 0.85, 'e': 0.06465177921081025}",30,20,20.86729343487608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1369,False,"{'a': 0.85, 'e': 0.06452247565238863}",25,5,34.95298326414973,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1370,False,"{'a': 0.85, 'e': 0.06439343070108385}",20,0,28.545670085447828,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1371,False,"{'a': 0.85, 'e': 0.06426464383968168}",25,9,29.319209999176614,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1372,False,"{'a': 0.85, 'e': 0.06413611455200231}",20,3,30.294887666217367,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1373,False,"{'a': 0.85, 'e': 0.06400784232289831}",25,13,21.0164639720425,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1374,False,"{'a': 0.85, 'e': 0.06387982663825252}",25,9,27.17277567485602,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1375,False,"{'a': 0.85, 'e': 0.06375206698497601}",20,8,9.09902822320713,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
1376,False,"{'a': 0.85, 'e': 0.06362456285100605}",35,23,22.88157149989879,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1377,False,"{'a': 0.85, 'e': 0.06349731372530405}",25,16,16.860921064138214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1378,False,"{'a': 0.85, 'e': 0.06337031909785344}",25,0,25.870458368611125,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1379,False,"{'a': 0.85, 'e': 0.06324357845965774}",25,19,10.590518809502154,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1380,False,"{'a': 0.85, 'e': 0.06311709130273842}",20,10,-20.42413628464958,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
1381,False,"{'a': 0.85, 'e': 0.06299085712013294}",20,1,31.72986671447724,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
1382,False,"{'a': 0.85, 'e': 0.06286487540589267}",25,0,42.12223386205964,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1383,False,"{'a': 0.85, 'e': 0.06273914565508089}",20,5,25.684510644001893,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1384,False,"{'a': 0.85, 'e': 0.06261366736377072}",25,18,15.788168179782907,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1385,False,"{'a': 0.85, 'e': 0.062488440029043184}",20,6,22.981386828011495,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1386,False,"{'a': 0.85, 'e': 0.062363463148985096}",25,4,35.59624702094186,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
1387,False,"{'a': 0.85, 'e': 0.06223873622268713}",20,3,30.704571971787832,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1388,False,"{'a': 0.85, 'e': 0.06211425875024175}",20,11,14.623644140720643,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1389,False,"{'a': 0.85, 'e': 0.06199003023274127}",20,2,20.253020999030777,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1390,False,"{'a': 0.85, 'e': 0.06186605017227579}",25,16,18.66127434090996,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1391,False,"{'a': 0.85, 'e': 0.061742318071931236}",20,14,11.099973069223784,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1392,False,"{'a': 0.85, 'e': 0.06161883343578737}",30,17,29.024369976886014,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1393,False,"{'a': 0.85, 'e': 0.0614955957689158}",20,7,14.232382863179172,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
